nohup: ignoring input
pybullet build time: May 20 2022 19:44:17
Iteration 1 took 4.60 seconds (mean sampled reward: -913.36). Current reward after update: -651.56, Optimal reward -651.56
Iteration 73 took 4.39 seconds (mean sampled reward: -894.67). Current reward after update: -667.95, Optimal reward -247.94
Iteration 74 took 4.46 seconds (mean sampled reward: -894.46). Current reward after update: -279.48, Optimal reward -247.94
Iteration 75 took 4.52 seconds (mean sampled reward: -825.40). Current reward after update: -268.67, Optimal reward -247.94
Iteration 76 took 4.49 seconds (mean sampled reward: -780.20). Current reward after update: -271.17, Optimal reward -247.94
Iteration 77 took 4.51 seconds (mean sampled reward: -778.02). Current reward after update: -259.64, Optimal reward -247.94
Iteration 78 took 4.44 seconds (mean sampled reward: -795.23). Current reward after update: -266.08, Optimal reward -247.94
Iteration 79 took 4.50 seconds (mean sampled reward: -809.75). Current reward after update: -266.59, Optimal reward -247.94
Iteration 80 took 4.59 seconds (mean sampled reward: -841.72). Current reward after update: -292.61, Optimal reward -247.94
Iteration 81 took 4.44 seconds (mean sampled reward: -842.00). Current reward after update: -258.66, Optimal reward -247.94
Iteration 82 took 4.59 seconds (mean sampled reward: -803.05). Current reward after update: -273.38, Optimal reward -247.94
Iteration 83 took 4.61 seconds (mean sampled reward: -805.39). Current reward after update: -254.00, Optimal reward -247.94
Iteration 84 took 4.52 seconds (mean sampled reward: -807.33). Current reward after update: -247.81, Optimal reward -247.81
Iteration 85 took 4.58 seconds (mean sampled reward: -803.69). Current reward after update: -269.88, Optimal reward -247.81
Iteration 86 took 4.60 seconds (mean sampled reward: -811.92). Current reward after update: -274.19, Optimal reward -247.81
Iteration 87 took 4.65 seconds (mean sampled reward: -815.97). Current reward after update: -280.36, Optimal reward -247.81
Iteration 88 took 4.54 seconds (mean sampled reward: -806.24). Current reward after update: -273.56, Optimal reward -247.81
Iteration 89 took 4.47 seconds (mean sampled reward: -813.96). Current reward after update: -247.64, Optimal reward -247.64
Iteration 90 took 4.52 seconds (mean sampled reward: -818.37). Current reward after update: -262.37, Optimal reward -247.64
Iteration 91 took 4.50 seconds (mean sampled reward: -844.19). Current reward after update: -294.59, Optimal reward -247.64
Iteration 92 took 4.52 seconds (mean sampled reward: -821.29). Current reward after update: -286.58, Optimal reward -247.64
Iteration 93 took 4.57 seconds (mean sampled reward: -859.02). Current reward after update: -302.66, Optimal reward -247.64
Iteration 94 took 4.51 seconds (mean sampled reward: -843.77). Current reward after update: -292.34, Optimal reward -247.64
Iteration 95 took 4.59 seconds (mean sampled reward: -864.41). Current reward after update: -280.54, Optimal reward -247.64
Iteration 96 took 4.47 seconds (mean sampled reward: -802.30). Current reward after update: -284.13, Optimal reward -247.64
Iteration 97 took 4.47 seconds (mean sampled reward: -818.62). Current reward after update: -284.64, Optimal reward -247.64
Iteration 98 took 4.52 seconds (mean sampled reward: -841.79). Current reward after update: -305.87, Optimal reward -247.64
Iteration 99 took 4.43 seconds (mean sampled reward: -797.73). Current reward after update: -305.94, Optimal reward -247.64
Iteration 100 took 4.56 seconds (mean sampled reward: -859.21). Current reward after update: -297.57, Optimal reward -247.64
Iteration 101 took 4.55 seconds (mean sampled reward: -873.61). Current reward after update: -316.09, Optimal reward -247.64
Iteration 102 took 4.46 seconds (mean sampled reward: -832.23). Current reward after update: -294.57, Optimal reward -247.64
Iteration 103 took 4.47 seconds (mean sampled reward: -856.02). Current reward after update: -302.34, Optimal reward -247.64
Iteration 104 took 4.56 seconds (mean sampled reward: -874.98). Current reward after update: -309.85, Optimal reward -247.64
Iteration 105 took 4.58 seconds (mean sampled reward: -834.14). Current reward after update: -282.52, Optimal reward -247.64
Iteration 106 took 4.54 seconds (mean sampled reward: -852.66). Current reward after update: -291.64, Optimal reward -247.64
Iteration 107 took 4.54 seconds (mean sampled reward: -851.61). Current reward after update: -272.53, Optimal reward -247.64
Iteration 108 took 4.52 seconds (mean sampled reward: -821.35). Current reward after update: -276.82, Optimal reward -247.64
Iteration 109 took 4.56 seconds (mean sampled reward: -863.70). Current reward after update: -284.44, Optimal reward -247.64
Iteration 110 took 4.51 seconds (mean sampled reward: -820.96). Current reward after update: -275.57, Optimal reward -247.64
Iteration 111 took 4.57 seconds (mean sampled reward: -866.84). Current reward after update: -287.60, Optimal reward -247.64
Iteration 112 took 4.60 seconds (mean sampled reward: -826.84). Current reward after update: -271.26, Optimal reward -247.64
Iteration 113 took 4.57 seconds (mean sampled reward: -855.65). Current reward after update: -264.72, Optimal reward -247.64
Iteration 114 took 4.57 seconds (mean sampled reward: -843.27). Current reward after update: -260.00, Optimal reward -247.64
Iteration 115 took 4.56 seconds (mean sampled reward: -847.40). Current reward after update: -287.24, Optimal reward -247.64
Iteration 116 took 4.47 seconds (mean sampled reward: -806.15). Current reward after update: -246.69, Optimal reward -246.69
Iteration 117 took 4.43 seconds (mean sampled reward: -832.00). Current reward after update: -280.35, Optimal reward -246.69
Iteration 118 took 4.52 seconds (mean sampled reward: -857.31). Current reward after update: -300.07, Optimal reward -246.69
Iteration 119 took 4.43 seconds (mean sampled reward: -805.77). Current reward after update: -251.23, Optimal reward -246.69
Iteration 120 took 4.48 seconds (mean sampled reward: -791.41). Current reward after update: -590.41, Optimal reward -246.69
Iteration 121 took 4.43 seconds (mean sampled reward: -801.99). Current reward after update: -249.29, Optimal reward -246.69
Iteration 122 took 4.48 seconds (mean sampled reward: -769.60). Current reward after update: -257.99, Optimal reward -246.69
Iteration 123 took 4.41 seconds (mean sampled reward: -797.40). Current reward after update: -267.39, Optimal reward -246.69
Iteration 124 took 4.59 seconds (mean sampled reward: -834.13). Current reward after update: -279.78, Optimal reward -246.69
Iteration 125 took 4.48 seconds (mean sampled reward: -797.74). Current reward after update: -274.07, Optimal reward -246.69
Iteration 126 took 4.47 seconds (mean sampled reward: -835.41). Current reward after update: -273.50, Optimal reward -246.69
Iteration 127 took 4.59 seconds (mean sampled reward: -852.87). Current reward after update: -311.20, Optimal reward -246.69
Iteration 128 took 4.56 seconds (mean sampled reward: -861.46). Current reward after update: -276.50, Optimal reward -246.69
Iteration 129 took 4.45 seconds (mean sampled reward: -814.70). Current reward after update: -274.20, Optimal reward -246.69
Iteration 130 took 4.46 seconds (mean sampled reward: -855.53). Current reward after update: -271.46, Optimal reward -246.69
Iteration 131 took 4.45 seconds (mean sampled reward: -869.53). Current reward after update: -275.94, Optimal reward -246.69
Iteration 132 took 4.43 seconds (mean sampled reward: -839.97). Current reward after update: -257.81, Optimal reward -246.69
Iteration 133 took 4.46 seconds (mean sampled reward: -785.47). Current reward after update: -246.98, Optimal reward -246.69
Iteration 134 took 4.50 seconds (mean sampled reward: -825.66). Current reward after update: -253.68, Optimal reward -246.69
Iteration 135 took 4.49 seconds (mean sampled reward: -832.25). Current reward after update: -255.12, Optimal reward -246.69
Iteration 136 took 4.46 seconds (mean sampled reward: -823.94). Current reward after update: -255.82, Optimal reward -246.69
Iteration 137 took 4.44 seconds (mean sampled reward: -849.34). Current reward after update: -275.21, Optimal reward -246.69
Iteration 138 took 4.36 seconds (mean sampled reward: -847.01). Current reward after update: -246.31, Optimal reward -246.31
Iteration 139 took 4.47 seconds (mean sampled reward: -805.74). Current reward after update: -243.69, Optimal reward -243.69
Iteration 140 took 4.52 seconds (mean sampled reward: -799.99). Current reward after update: -264.66, Optimal reward -243.69
Iteration 141 took 4.49 seconds (mean sampled reward: -839.49). Current reward after update: -260.62, Optimal reward -243.69
Iteration 142 took 4.46 seconds (mean sampled reward: -848.29). Current reward after update: -226.13, Optimal reward -226.13
Iteration 143 took 4.43 seconds (mean sampled reward: -906.23). Current reward after update: -274.03, Optimal reward -226.13
Iteration 144 took 4.52 seconds (mean sampled reward: -843.06). Current reward after update: -274.92, Optimal reward -226.13
Iteration 145 took 4.46 seconds (mean sampled reward: -809.49). Current reward after update: -258.05, Optimal reward -226.13
Iteration 146 took 4.47 seconds (mean sampled reward: -835.83). Current reward after update: -280.71, Optimal reward -226.13
Iteration 147 took 4.48 seconds (mean sampled reward: -831.17). Current reward after update: -249.58, Optimal reward -226.13
Iteration 148 took 4.52 seconds (mean sampled reward: -887.97). Current reward after update: -222.28, Optimal reward -222.28
Iteration 149 took 4.51 seconds (mean sampled reward: -854.05). Current reward after update: -282.48, Optimal reward -222.28
Iteration 150 took 4.50 seconds (mean sampled reward: -836.28). Current reward after update: -294.26, Optimal reward -222.28
Iteration 151 took 4.51 seconds (mean sampled reward: -854.22). Current reward after update: -286.35, Optimal reward -222.28
Iteration 152 took 4.53 seconds (mean sampled reward: -866.29). Current reward after update: -282.26, Optimal reward -222.28
Iteration 153 took 4.49 seconds (mean sampled reward: -831.54). Current reward after update: -282.10, Optimal reward -222.28
Iteration 154 took 4.46 seconds (mean sampled reward: -813.29). Current reward after update: -259.73, Optimal reward -222.28
Iteration 155 took 4.45 seconds (mean sampled reward: -791.14). Current reward after update: -271.10, Optimal reward -222.28
Iteration 156 took 4.47 seconds (mean sampled reward: -776.78). Current reward after update: -287.98, Optimal reward -222.28
Iteration 157 took 4.49 seconds (mean sampled reward: -786.05). Current reward after update: -265.72, Optimal reward -222.28
Iteration 158 took 4.49 seconds (mean sampled reward: -786.00). Current reward after update: -268.00, Optimal reward -222.28
Iteration 159 took 4.42 seconds (mean sampled reward: -793.42). Current reward after update: -278.72, Optimal reward -222.28
Iteration 160 took 4.56 seconds (mean sampled reward: -790.89). Current reward after update: -276.86, Optimal reward -222.28
Iteration 161 took 4.52 seconds (mean sampled reward: -784.28). Current reward after update: -273.70, Optimal reward -222.28
Iteration 162 took 4.56 seconds (mean sampled reward: -827.11). Current reward after update: -290.16, Optimal reward -222.28
Iteration 163 took 4.55 seconds (mean sampled reward: -793.30). Current reward after update: -276.57, Optimal reward -222.28
Iteration 164 took 4.58 seconds (mean sampled reward: -811.53). Current reward after update: -268.68, Optimal reward -222.28
Iteration 165 took 4.63 seconds (mean sampled reward: -803.86). Current reward after update: -277.78, Optimal reward -222.28
Iteration 166 took 4.51 seconds (mean sampled reward: -791.92). Current reward after update: -272.99, Optimal reward -222.28
Iteration 167 took 4.62 seconds (mean sampled reward: -786.49). Current reward after update: -270.32, Optimal reward -222.28
Iteration 168 took 4.55 seconds (mean sampled reward: -776.87). Current reward after update: -263.00, Optimal reward -222.28
Iteration 169 took 4.64 seconds (mean sampled reward: -793.50). Current reward after update: -278.80, Optimal reward -222.28
Iteration 170 took 4.55 seconds (mean sampled reward: -788.72). Current reward after update: -273.15, Optimal reward -222.28
Iteration 171 took 4.58 seconds (mean sampled reward: -807.61). Current reward after update: -280.84, Optimal reward -222.28
Iteration 172 took 4.52 seconds (mean sampled reward: -791.06). Current reward after update: -277.86, Optimal reward -222.28
Iteration 173 took 4.65 seconds (mean sampled reward: -800.30). Current reward after update: -272.32, Optimal reward -222.28
Iteration 174 took 4.60 seconds (mean sampled reward: -798.61). Current reward after update: -262.80, Optimal reward -222.28
Iteration 175 took 4.58 seconds (mean sampled reward: -797.61). Current reward after update: -255.61, Optimal reward -222.28
Iteration 176 took 4.63 seconds (mean sampled reward: -802.27). Current reward after update: -269.03, Optimal reward -222.28
Iteration 177 took 4.66 seconds (mean sampled reward: -816.71). Current reward after update: -263.14, Optimal reward -222.28
Iteration 178 took 4.61 seconds (mean sampled reward: -795.79). Current reward after update: -256.23, Optimal reward -222.28
Iteration 179 took 4.63 seconds (mean sampled reward: -847.93). Current reward after update: -290.30, Optimal reward -222.28
Iteration 180 took 4.58 seconds (mean sampled reward: -825.45). Current reward after update: -268.57, Optimal reward -222.28
Iteration 181 took 4.50 seconds (mean sampled reward: -793.68). Current reward after update: -278.13, Optimal reward -222.28
Iteration 182 took 4.55 seconds (mean sampled reward: -789.37). Current reward after update: -269.56, Optimal reward -222.28
Iteration 183 took 4.57 seconds (mean sampled reward: -801.17). Current reward after update: -288.41, Optimal reward -222.28
Iteration 184 took 4.61 seconds (mean sampled reward: -799.00). Current reward after update: -274.24, Optimal reward -222.28
Iteration 185 took 4.52 seconds (mean sampled reward: -801.22). Current reward after update: -277.19, Optimal reward -222.28
Iteration 186 took 4.55 seconds (mean sampled reward: -804.50). Current reward after update: -273.67, Optimal reward -222.28
Iteration 187 took 4.60 seconds (mean sampled reward: -771.67). Current reward after update: -316.20, Optimal reward -222.28
Iteration 188 took 4.60 seconds (mean sampled reward: -780.45). Current reward after update: -277.85, Optimal reward -222.28
Iteration 189 took 4.54 seconds (mean sampled reward: -795.27). Current reward after update: -276.08, Optimal reward -222.28
Iteration 190 took 4.48 seconds (mean sampled reward: -777.02). Current reward after update: -275.24, Optimal reward -222.28
Iteration 191 took 4.57 seconds (mean sampled reward: -811.83). Current reward after update: -280.72, Optimal reward -222.28
Iteration 192 took 4.51 seconds (mean sampled reward: -780.78). Current reward after update: -267.84, Optimal reward -222.28
Iteration 193 took 4.53 seconds (mean sampled reward: -769.40). Current reward after update: -273.83, Optimal reward -222.28
Iteration 194 took 4.57 seconds (mean sampled reward: -777.83). Current reward after update: -262.46, Optimal reward -222.28
Iteration 195 took 4.62 seconds (mean sampled reward: -762.69). Current reward after update: -279.66, Optimal reward -222.28
Iteration 196 took 4.55 seconds (mean sampled reward: -762.34). Current reward after update: -281.61, Optimal reward -222.28
/home/sirius/anaconda3/envs/nimble_dev/lib/python3.8/site-packages/gym/spaces/box.py:73: UserWarning: [33mWARN: Box bound precision lowered by casting to float32[0m
  logger.warn(
/home/sirius/anaconda3/envs/nimble_dev/lib/python3.8/site-packages/gym/spaces/box.py:73: UserWarning: [33mWARN: Box bound precision lowered by casting to float32[0m
  logger.warn(
/home/sirius/anaconda3/envs/nimble_dev/lib/python3.8/site-packages/gym/spaces/box.py:73: UserWarning: [33mWARN: Box bound precision lowered by casting to float32[0m
  logger.warn(
/home/sirius/anaconda3/envs/nimble_dev/lib/python3.8/site-packages/gym/spaces/box.py:73: UserWarning: [33mWARN: Box bound precision lowered by casting to float32[0m
  logger.warn(
/home/sirius/anaconda3/envs/nimble_dev/lib/python3.8/site-packages/gym/spaces/box.py:73: UserWarning: [33mWARN: Box bound precision lowered by casting to float32[0m
  logger.warn(
/home/sirius/anaconda3/envs/nimble_dev/lib/python3.8/site-packages/gym/spaces/box.py:73: UserWarning: [33mWARN: Box bound precision lowered by casting to float32[0m
  logger.warn(
/home/sirius/anaconda3/envs/nimble_dev/lib/python3.8/site-packages/gym/spaces/box.py:73: UserWarning: [33mWARN: Box bound precision lowered by casting to float32[0m
  logger.warn(
/home/sirius/anaconda3/envs/nimble_dev/lib/python3.8/site-packages/gym/spaces/box.py:73: UserWarning: [33mWARN: Box bound precision lowered by casting to float32[0m
  logger.warn(
/home/sirius/anaconda3/envs/nimble_dev/lib/python3.8/site-packages/gym/spaces/box.py:73: UserWarning: [33mWARN: Box bound precision lowered by casting to float32[0m
  logger.warn(
/home/sirius/anaconda3/envs/nimble_dev/lib/python3.8/site-packages/gym/spaces/box.py:73: UserWarning: [33mWARN: Box bound precision lowered by casting to float32[0m
  logger.warn(
/home/sirius/anaconda3/envs/nimble_dev/lib/python3.8/site-packages/gym/spaces/box.py:73: UserWarning: [33mWARN: Box bound precision lowered by casting to float32[0m
  logger.warn(
/home/sirius/anaconda3/envs/nimble_dev/lib/python3.8/site-packages/gym/spaces/box.py:73: UserWarning: [33mWARN: Box bound precision lowered by casting to float32[0m
  logger.warn(
/home/sirius/anaconda3/envs/nimble_dev/lib/python3.8/site-packages/gym/spaces/box.py:73: UserWarning: [33mWARN: Box bound precision lowered by casting to float32[0m
  logger.warn(
/home/sirius/anaconda3/envs/nimble_dev/lib/python3.8/site-packages/gym/spaces/box.py:73: UserWarning: [33mWARN: Box bound precision lowered by casting to float32[0m
  logger.warn(
/home/sirius/anaconda3/envs/nimble_dev/lib/python3.8/site-packages/gym/spaces/box.py:73: UserWarning: [33mWARN: Box bound precision lowered by casting to float32[0m
  logger.warn(
/home/sirius/anaconda3/envs/nimble_dev/lib/python3.8/site-packages/gym/spaces/box.py:73: UserWarning: [33mWARN: Box bound precision lowered by casting to float32[0m
  logger.warn(
/home/sirius/anaconda3/envs/nimble_dev/lib/python3.8/site-packages/gym/spaces/box.py:73: UserWarning: [33mWARN: Box bound precision lowered by casting to float32[0m
  logger.warn(
/home/sirius/anaconda3/envs/nimble_dev/lib/python3.8/site-packages/gym/spaces/box.py:73: UserWarning: [33mWARN: Box bound precision lowered by casting to float32[0m
  logger.warn(
/home/sirius/anaconda3/envs/nimble_dev/lib/python3.8/site-packages/gym/spaces/box.py:73: UserWarning: [33mWARN: Box bound precision lowered by casting to float32[0m
  logger.warn(
/home/sirius/anaconda3/envs/nimble_dev/lib/python3.8/site-packages/gym/spaces/box.py:73: UserWarning: [33mWARN: Box bound precision lowered by casting to float32[0m
  logger.warn(
/home/sirius/anaconda3/envs/nimble_dev/lib/python3.8/site-packages/gym/spaces/box.py:73: UserWarning: [33mWARN: Box bound precision lowered by casting to float32[0m
  logger.warn(
/home/sirius/anaconda3/envs/nimble_dev/lib/python3.8/site-packages/gym/spaces/box.py:73: UserWarning: [33mWARN: Box bound precision lowered by casting to float32[0m
  logger.warn(
/home/sirius/anaconda3/envs/nimble_dev/lib/python3.8/site-packages/gym/spaces/box.py:73: UserWarning: [33mWARN: Box bound precision lowered by casting to float32[0m
  logger.warn(
/home/sirius/anaconda3/envs/nimble_dev/lib/python3.8/site-packages/gym/spaces/box.py:73: UserWarning: [33mWARN: Box bound precision lowered by casting to float32[0m
  logger.warn(
/home/sirius/anaconda3/envs/nimble_dev/lib/python3.8/site-packages/gym/spaces/box.py:73: UserWarning: [33mWARN: Box bound precision lowered by casting to float32[0m
  logger.warn(
/home/sirius/anaconda3/envs/nimble_dev/lib/python3.8/site-packages/gym/spaces/box.py:73: UserWarning: [33mWARN: Box bound precision lowered by casting to float32[0m
  logger.warn(
/home/sirius/anaconda3/envs/nimble_dev/lib/python3.8/site-packages/gym/spaces/box.py:73: UserWarning: [33mWARN: Box bound precision lowered by casting to float32[0m
  logger.warn(
/home/sirius/anaconda3/envs/nimble_dev/lib/python3.8/site-packages/gym/spaces/box.py:73: UserWarning: [33mWARN: Box bound precision lowered by casting to float32[0m
  logger.warn(
/home/sirius/anaconda3/envs/nimble_dev/lib/python3.8/site-packages/gym/spaces/box.py:73: UserWarning: [33mWARN: Box bound precision lowered by casting to float32[0m
  logger.warn(
/home/sirius/anaconda3/envs/nimble_dev/lib/python3.8/site-packages/gym/spaces/box.py:73: UserWarning: [33mWARN: Box bound precision lowered by casting to float32[0m
  logger.warn(
/home/sirius/anaconda3/envs/nimble_dev/lib/python3.8/site-packages/gym/spaces/box.py:73: UserWarning: [33mWARN: Box bound precision lowered by casting to float32[0m
  logger.warn(
/home/sirius/anaconda3/envs/nimble_dev/lib/python3.8/site-packages/gym/spaces/box.py:73: UserWarning: [33mWARN: Box bound precision lowered by casting to float32[0m
  logger.warn(
/home/sirius/anaconda3/envs/nimble_dev/lib/python3.8/site-packages/gym/spaces/box.py:73: UserWarning: [33mWARN: Box bound precision lowered by casting to float32[0m
  logger.warn(
/home/sirius/anaconda3/envs/nimble_dev/lib/python3.8/site-packages/gym/spaces/box.py:73: UserWarning: [33mWARN: Box bound precision lowered by casting to float32[0m
  logger.warn(
/home/sirius/anaconda3/envs/nimble_dev/lib/python3.8/site-packages/gym/spaces/box.py:73: UserWarning: [33mWARN: Box bound precision lowered by casting to float32[0m
  logger.warn(
/home/sirius/anaconda3/envs/nimble_dev/lib/python3.8/site-packages/gym/spaces/box.py:73: UserWarning: [33mWARN: Box bound precision lowered by casting to float32[0m
  logger.warn(
/home/sirius/anaconda3/envs/nimble_dev/lib/python3.8/site-packages/gym/spaces/box.py:73: UserWarning: [33mWARN: Box bound precision lowered by casting to float32[0m
  logger.warn(
/home/sirius/anaconda3/envs/nimble_dev/lib/python3.8/site-packages/gym/spaces/box.py:73: UserWarning: [33mWARN: Box bound precision lowered by casting to float32[0m
  logger.warn(
/home/sirius/anaconda3/envs/nimble_dev/lib/python3.8/site-packages/gym/spaces/box.py:73: UserWarning: [33mWARN: Box bound precision lowered by casting to float32[0m
  logger.warn(
